smiles,label
C1=C(N=C[N]1[H])C4C2=CC=CC3=C2C(=CC=C3)CC4,0
C1(=O)C(CSCC)(C(CCC)C)C(=O)NC(=O)N1,1
CNCCCC12CCC(c3ccccc31)c1ccccc12,0
C1=CC(=CC=C1C2=NC(=C[N]2C3=C(C=C(C=C3)Cl)Cl)C(=O)OCCC)Br,1
C1(=C(C=CC=C1C(C)C)C(C)C)OC(=O)CBr,0
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0
N1C(NC(C(C1=O)(CC(=C)CO)CC(=C)CO)=O)=O,1
C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0
CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,0
C1=CC(=CC=C1C2=NC(=C[N]2C3=C(C=C(C=C3)Cl)Cl)C(=O)O)Cl,1
NCCc1ccc(O)c(O)c1,0
N#[N+][O-],1
CN(C)C(=O)Oc1ccc[n+](C)c1,0
CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0
N1C(NC(C(C1=O)(C(CC)CC)CC(=C)CO)=O)=O,1
C1=CC=CC(=C1)C(C2=CC=CC=C2)(C(CN(CC)CC)C)C(CC)=NC(C)=O,1
O=C(N)C1(N2CCCCC2)CCN(CCCOC3=CC=CC=C3)CC1,0
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,0
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,0
C1(=O)C(C(=O)NC(N1)=S)(C(SCCCC)C)C=CC,1
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,0
NC(=O)c1ccccc1O,0
COC(=O)c1cncn1C(C)c1ccccc1,1
O=C(N)C(CC1)(N2CCCCO2)CCN1CCC(C3=CC=CC=C3)(C#N)C4=CC=CC=C4,0
C1(CCCCC1)(C2=CC=C(C=C2)C)NC,1
C1=CC=CC(=C1)C(C2=CC=CC=C2)(CC(N3CCOCC3)C)C(NC)=O,1
C1(C(NC(=O)N(C1=O)CC(OCC)=O)=O)(C=C)CC(C)C,1
C1(=C(C=CC=C1N2CCN(CC2)C(COC3=C(C=C(C=C3)CC(=O)OC(C)C)OCC)=O)Cl)Cl,1
C1(=C(C=CC=C1C(C)CC)CCCC)O,1
C1(=CC=C(C=C1OCC)C(OCCC(F)(F)F)=O)OCC(=O)N(CC)CC,1
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,0
COc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O.CNC(C)CC1CCCCC1,0
C1=CC=CC2=C1CC(C2NC(=O)C(N(CC)CC)C)C3=CC=CC=C3,0
CC(=O)NC(CC(C)C)C(=O)O,0
C1(CCCCC1)(N(C)CCN(CC)CC)C2=CC=CC=C2,1
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
C1=CC=CC(=C1)C(C2=CC=CC=C2)(CCN3CCOCC3)C(N4CCCC4)=O,1
N1(CCC(CC1)(C2=CC=CC=C2)OC(=O)CC)CCC3=CC=CC=C3,0
C1=CC=CC(=C1)C(C2=CC=CC=C2)(CCN3CCCC3)C(=O)OCC,1
C1=C(C(=CC2=C1C(=O)N(C2CC(N3CCN(CC3)C)=O)C4=CC(=CC=C4)OC)C)C,1
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,0
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,0
