smiles,label
Cc1ncsc1CCCl,0
C1(=O)C(C(=O)NC(N1)=S)(C(C)CSCC)CC=C,1
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,0
FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,0
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1
C=CCC(C(=O)NC(N)=O)C(C)C,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,1
[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])C1CC(=O)C(CC(C)C)CN1CC2,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1
CCC1(c2cccc(O)c2)CCCCN(C)C1,1
Nc1ccncc1N,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,0
Nc1c2c(nc3ccccc13)CCCC2,1
CCCCc1cc2ccccc2c(OCCN(C)C)n1,0
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1.[K+],0
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0
NNCCc1ccccc1,1
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,0
N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,0
NCCS(=O)(=O)O,0
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,0
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,1
C1(=C(C=CC=C1C(C)C)C(C)C)OC(=O)CBr,0
Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,0
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0
C1(C(C(NC(N1)=O)=O)(C(SC(C)C)C)CCC)=O,1
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,0
O=C1C(CCC(OCCCC)=O)N=C(C2=CC=CC=C2F)C3=CC(Cl)=CC=C3N1,0
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,0
C1(C(C(NC(N1)=O)=O)(CCSC(C)C)CC=C)=O,1
CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21,0
CN(C)CCCN1c2ccccc2Sc2ccccc21,0
O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,1
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)(O)OC3CC(OC3COP(=S)(O)OC4CC(OC4COP(=S)(O)OC5C(OC(C5OCCOC)N6C=NC7=C6N=C(NC7=O)N)COP(=S)(O)OC8C(OC(C8OCCOC)N9C=C(C(=O)NC9=O)C)COP(=S)(O)OC1C(OC(C1OCCOC)N1C=C(C(=O)NC1=O)C)COP(=O)(OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)OC1C(OC(C1OCCOC)N1C=C(C(=O)NC1=O)C)CO)S)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)N)C)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)O,0
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,0
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,0
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,1
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,1
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0
COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC,1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,0
OCCOc1ccccc1,0
CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,0
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,0
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,1
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0
NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,1
O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,1
Cl.NNc1nncc2ccccc12,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0
O=C1C(CC(OCC2=CC=CC=C2)=O)N=C(C3=CC=CC=C3)C4=CC(Cl)=CC=C4N1,0
c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,0
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,1
CCCC(CCC)C(N)=O,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,0
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,1
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,0
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,1
C=CCC1(CC)C(=O)NC(=O)NC1=O,0
CN(C)CCC=C1c2ccccc2OCc2c1oc1ccccc21,0
CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,0
C#CCN(C)[C@H](C)Cc1ccccc1,1
CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
